op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
0,const,,,,0.0
1,const,,,,0.0
2,const,,,,0.0
3,const,,,,0.0
4,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16868cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16868cd00>,0.0062333302938420605
5,const,,,,0.0
6,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16868cc10>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16868cd90>,0.0009589685972903105
7,const,,,,0.0
8,const,,,,0.0
9,const,,,,0.0
10,const,,,,0.0
11,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16868ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cd00>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16868cc10>,0.0062333302938420605
12,const,,,,0.0
13,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cd00>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16868cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16868ccd0>,0.0009589685972903105
14,const,,,,0.0
15,const,,,,0.0
16,const,,,,0.0
17,const,,,,0.0
18,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16868cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cc10>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16868cd30>,0.0062333302938420605
19,const,,,,0.0
20,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868cc10>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16868cd00>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16868ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16868cc70>,0.0009589685972903105
21,const,,,,0.0
22,const,,,,0.0
23,const,,,,0.0
24,const,,,,0.0
