op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
0,const,,,,0.0
1,const,,,,0.0
2,const,,,,0.0
3,const,,,,0.0
4,ios18.gather,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264b80>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264ac0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264b20>,0.2671986382390267
5,const,,,,0.0
6,ios18.add,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264b20>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264c40>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264be0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16a264ac0>,0.0014707582018542121
7,const,,,,0.0
8,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264c40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264ca0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264b80>,1.334836259177457e-06
9,const,,,,0.0
10,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264ca0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264ac0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264be0>,1.334836259177457e-06
11,const,,,,0.0
12,tile,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264ac0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264c40>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264b80>,8.51154414675508e-05
13,const,,,,0.0
14,const,,,,0.0
15,ios18.cast,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264c40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264ca0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264be0>,0.00012664455308396004
16,ios18.sub,,<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16a264c40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x16a264b80>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x16a264ca0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x16a264be0>,7.139242761692768e-05
17,const,,,,0.0
18,const,,,,0.0
