op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
0,const,,,,0.0
1,const,,,,0.0
2,const,,,,0.0
3,const,,,,0.0
4,ios18.gather,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495bb0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495af0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495b50>,0.130282382669732
5,const,,,,0.0
6,ios18.add,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495b50>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495c70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495c10>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x135495af0>,0.0028853970905647203
7,const,,,,0.0
8,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495c70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495cd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495bb0>,2.611022293241687e-06
9,const,,,,0.0
10,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495cd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495af0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495c10>,2.611022293241687e-06
11,const,,,,0.0
12,tile,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495af0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495c70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495bb0>,0.0006677785226926509
13,const,,,,0.0
14,const,,,,0.0
15,ios18.cast,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495c70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495cd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495c10>,0.0009996961176445198
16,ios18.sub,,<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x135495c70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x135495bb0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x135495cd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x135495c10>,0.0005635187583474369
17,const,,,,0.0
18,const,,,,0.0
